kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
1003-133-2009-3,1003,2009,3,133,1879250,49.2,49.9,52.4,5.87
1004-133-2009-3,1004,2009,3,133,2934826,78.9,80.2,84.1,9.43
1005-133-2009-3,1005,2009,3,133,2734176.317,73.2,74.4,78.0,8.75
1006-133-2009-3,1006,2009,3,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2009-3,1007,2009,3,133,2297154,64.3,65.3,68.6,7.69
1008-133-2009-3,1008,2009,3,133,1873717.522,50.8,51.5,54.1,6.06
1010-133-2009-3,1010,2009,3,133,2067690.972,52.7,53.5,56.1,6.29
1011-133-2009-3,1011,2009,3,133,3223893.753,74.7,75.9,79.7,8.93
1013-133-2009-3,1013,2009,3,133,1265652.191,34.9,35.4,37.2,4.17
2002-133-2009-3,2002,2009,3,133,3380465.111,89.9,91.3,95.9,10.75
2009-133-2009-3,2009,2009,3,133,2244318.839,62.0,63.0,66.1,7.41
2012-133-2009-3,2012,2009,3,133,1761228.467,49.8,50.5,53.1,5.95
2014-133-2009-3,2014,2009,3,133,2430357,63.9,64.9,68.1,7.63
0-113-2009-3,0,2009,3,113,1284323,30.7,31.2,32.7,3.67
0-123-2009-3,0,2009,3,123,1627222,38.9,39.5,41.5,4.65
0-126-2009-3,0,2009,3,126,1942515,46.5,47.2,49.5,5.55
0-133-2009-3,0,2009,3,133,2729851,65.3,66.3,69.6,7.80
1001-0-2009-3,1001,2009,3,0,4103010.608,89.1,90.5,95.0,10.65
1003-0-2009-3,1003,2009,3,0,1603575.854,41.9,42.6,44.7,5.01
1004-0-2009-3,1004,2009,3,0,1669540.223,44.9,45.6,47.9,5.37
1005-0-2009-3,1005,2009,3,0,1744709.713,46.7,47.4,49.8,5.58
1006-0-2009-3,1006,2009,3,0,1402104.915,35.9,36.4,38.2,4.28
1007-0-2009-3,1007,2009,3,0,1530587.154,42.9,43.5,45.7,5.12
1008-0-2009-3,1008,2009,3,0,1377014.843,37.3,37.9,39.8,4.46
1010-0-2009-3,1010,2009,3,0,1964813.144,50.1,50.8,53.3,5.98
1011-0-2009-3,1011,2009,3,0,2069971.021,48.0,48.7,51.1,5.73
1013-0-2009-3,1013,2009,3,0,866424.4134,23.9,24.3,25.5,2.85
2002-0-2009-3,2002,2009,3,0,2168775.054,57.7,58.6,61.5,6.89
2009-0-2009-3,2009,2009,3,0,1630839.122,45.1,45.8,48.0,5.39
2012-0-2009-3,2012,2009,3,0,1239134.788,35.0,35.6,37.3,4.18
2014-0-2009-3,2014,2009,3,0,1592899.49,41.9,42.5,44.6,5.00
0-0-2009-3,0,2009,3,0,2117452,50.7,51.4,54.0,6.05
1001-113-2009-4,1001,2009,4,113,2464131.695,52.7,53.6,56.3,6.32
1003-113-2009-4,1003,2009,4,113,1230504.91,31.9,32.5,34.1,3.82
1004-113-2009-4,1004,2009,4,113,1117701.672,29.8,30.3,31.9,3.57
1005-113-2009-4,1005,2009,4,113,1119201.209,29.6,30.1,31.7,3.55
1006-113-2009-4,1006,2009,4,113,931570,23.6,24.0,25.2,2.83
1007-113-2009-4,1007,2009,4,113,917105.5196,25.4,25.9,27.2,3.05
1008-113-2009-4,1008,2009,4,113,981268.3114,26.3,26.8,28.1,3.15
1010-113-2009-4,1010,2009,4,113,1283444,32.5,33.1,34.8,3.89
1011-113-2009-4,1011,2009,4,113,1413986.763,32.4,32.9,34.6,3.88
1013-113-2009-4,1013,2009,4,113,558036.1044,15.3,15.5,16.3,1.83
2002-113-2009-4,2002,2009,4,113,1326272.924,34.8,35.4,37.2,4.17
2009-113-2009-4,2009,2009,4,113,1163597.124,31.9,32.5,34.1,3.82
2012-113-2009-4,2012,2009,4,113,792097.5268,22.2,22.6,23.7,2.66
2014-113-2009-4,2014,2009,4,113,1025076.874,26.6,27.1,28.4,3.18
1001-123-2009-4,1001,2009,4,123,3527552.09,75.5,76.7,80.6,9.04
1003-123-2009-4,1003,2009,4,123,1383482.675,35.9,36.5,38.3,4.30
1004-123-2009-4,1004,2009,4,123,1505346.292,40.2,40.8,42.9,4.81
1005-123-2009-4,1005,2009,4,123,1695674.613,44.9,45.7,48.0,5.38
1006-123-2009-4,1006,2009,4,123,1271777.152,32.2,32.8,34.4,3.86
1007-123-2009-4,1007,2009,4,123,1211918.011,33.6,34.2,35.9,4.03
1008-123-2009-4,1008,2009,4,123,1348507.363,36.2,36.8,38.7,4.33
1010-123-2009-4,1010,2009,4,123,1824838,46.2,47.0,49.4,5.54
1011-123-2009-4,1011,2009,4,123,1752602.157,40.1,40.8,42.9,4.80
1013-123-2009-4,1013,2009,4,123,775875.751,21.3,21.6,22.7,2.54
2002-123-2009-4,2002,2009,4,123,1843343.769,48.4,49.3,51.8,5.80
2009-123-2009-4,2009,2009,4,123,1409980.127,38.7,39.3,41.3,4.63
2012-123-2009-4,2012,2009,4,123,1100275.716,30.8,31.4,33.0,3.69
2014-123-2009-4,2014,2009,4,123,1506371.681,39.1,39.8,41.8,4.68
1001-126-2009-4,1001,2009,4,126,4758574.049,101.8,103.5,108.8,12.20
1003-126-2009-4,1003,2009,4,126,1622320.456,42.1,42.8,45.0,5.04
1004-126-2009-4,1004,2009,4,126,1791086.63,47.8,48.6,51.1,5.72
1005-126-2009-4,1005,2009,4,126,1880571.36,49.8,50.6,53.2,5.97
1006-126-2009-4,1006,2009,4,126,1496974.689,37.9,38.6,40.5,4.54
1007-126-2009-4,1007,2009,4,126,1688390.967,46.8,47.6,50.0,5.61
1008-126-2009-4,1008,2009,4,126,1373871.276,36.9,37.5,39.4,4.41
1010-126-2009-4,1010,2009,4,126,2397230,60.7,61.8,64.9,7.28
1011-126-2009-4,1011,2009,4,126,2335664.873,53.5,54.4,57.1,6.40
1013-126-2009-4,1013,2009,4,126,932208.7395,25.5,26.0,27.3,3.06
2002-126-2009-4,2002,2009,4,126,2482454.791,65.2,66.3,69.7,7.82
2009-126-2009-4,2009,2009,4,126,1777471.227,48.8,49.6,52.1,5.84
2012-126-2009-4,2012,2009,4,126,1353388.386,37.9,38.6,40.5,4.54
2014-126-2009-4,2014,2009,4,126,1675129.387,43.5,44.2,46.5,5.21
1001-133-2009-4,1001,2009,4,133,6741048.011,144.2,146.7,154.1,17.28
1003-133-2009-4,1003,2009,4,133,1785500,46.3,47.1,49.5,5.55
1004-133-2009-4,1004,2009,4,133,2850796,76.0,77.3,81.3,9.11
