kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
12,0,2009-04-01,792097,2.66,0.22,0.23,0.24
13,0,2009-04-01,1025076,3.18,0.27,0.27,0.28
0,1,2009-04-01,3527552,9.04,0.76,0.77,0.81
1,1,2009-04-01,1383482,4.30,0.36,0.36,0.38
2,1,2009-04-01,1505346,4.81,0.40,0.41,0.43
3,1,2009-04-01,1695674,5.38,0.45,0.46,0.48
4,1,2009-04-01,1271777,3.86,0.32,0.33,0.34
5,1,2009-04-01,1211918,4.03,0.34,0.34,0.36
6,1,2009-04-01,1348507,4.33,0.36,0.37,0.39
7,1,2009-04-01,1824838,5.54,0.46,0.47,0.49
8,1,2009-04-01,1752602,4.80,0.40,0.41,0.43
9,1,2009-04-01,775875,2.54,0.21,0.22,0.23
10,1,2009-04-01,1843343,5.80,0.48,0.49,0.52
11,1,2009-04-01,1409980,4.63,0.39,0.39,0.41
12,1,2009-04-01,1100275,3.69,0.31,0.31,0.33
13,1,2009-04-01,1506371,4.68,0.39,0.40,0.42
0,2,2009-04-01,4758574,12.20,1.02,1.03,1.09
1,2,2009-04-01,1622320,5.04,0.42,0.43,0.45
2,2,2009-04-01,1791086,5.72,0.48,0.49,0.51
3,2,2009-04-01,1880571,5.97,0.50,0.51,0.53
4,2,2009-04-01,1496974,4.54,0.38,0.39,0.41
5,2,2009-04-01,1688390,5.61,0.47,0.48,0.50
6,2,2009-04-01,1373871,4.41,0.37,0.38,0.39
7,2,2009-04-01,2397230,7.28,0.61,0.62,0.65
8,2,2009-04-01,2335664,6.40,0.54,0.54,0.57
9,2,2009-04-01,932208,3.06,0.26,0.26,0.27
10,2,2009-04-01,2482454,7.82,0.65,0.66,0.70
11,2,2009-04-01,1777471,5.84,0.49,0.50,0.52
12,2,2009-04-01,1353388,4.54,0.38,0.39,0.41
13,2,2009-04-01,1675129,5.21,0.43,0.44,0.47
0,3,2009-04-01,6741048,17.28,1.44,1.47,1.54
1,3,2009-04-01,1785500,5.55,0.46,0.47,0.49
2,3,2009-04-01,2850796,9.11,0.76,0.77,0.81
3,3,2009-04-01,2665089,8.46,0.71,0.72,0.75
5,3,2009-04-01,2260792,7.51,0.63,0.64,0.67
6,3,2009-04-01,1847351,5.94,0.50,0.50,0.53
7,3,2009-04-01,2060302,6.26,0.52,0.53,0.56
8,3,2009-04-01,3233165,8.87,0.74,0.75,0.79
9,3,2009-04-01,1218992,4.00,0.33,0.34,0.36
10,3,2009-04-01,3325173,10.47,0.87,0.89,0.93
11,3,2009-04-01,2156140,7.09,0.59,0.60,0.63
12,3,2009-04-01,1754595,5.89,0.49,0.50,0.53
13,3,2009-04-01,2450500,7.62,0.64,0.65,0.68
14,0,2009-04-01,1246090,3.54,0.29,0.30,0.32
14,1,2009-04-01,1615031,4.59,0.38,0.39,0.41
14,2,2009-04-01,1955602,5.55,0.46,0.47,0.49
14,3,2009-04-01,2662110,7.56,0.63,0.64,0.67
0,4,2009-04-01,4079237,10.46,0.87,0.89,0.93
1,4,2009-04-01,1528356,4.75,0.40,0.40,0.42
2,4,2009-04-01,1634336,5.22,0.44,0.44,0.47
3,4,2009-04-01,1724894,5.47,0.46,0.46,0.49
4,4,2009-04-01,1362434,4.13,0.34,0.35,0.37
5,4,2009-04-01,1425230,4.73,0.40,0.40,0.42
6,4,2009-04-01,1324634,4.26,0.35,0.36,0.38
7,4,2009-04-01,1954280,5.93,0.49,0.50,0.53
8,4,2009-04-01,2035738,5.58,0.47,0.47,0.50
9,4,2009-04-01,876968,2.88,0.24,0.24,0.26
10,4,2009-04-01,2184356,6.88,0.57,0.58,0.61
11,4,2009-04-01,1608513,5.29,0.44,0.45,0.47
12,4,2009-04-01,1223757,4.11,0.34,0.35,0.37
13,4,2009-04-01,1579965,4.91,0.41,0.42,0.44
14,4,2009-04-01,2107119,5.99,0.50,0.51,0.53
0,0,2009-05-01,2431022,6.15,0.51,0.52,0.55
1,0,2009-05-01,1180464,3.65,0.30,0.31,0.33
2,0,2009-05-01,1144901,3.64,0.30,0.31,0.32
3,0,2009-05-01,1153656,3.63,0.30,0.31,0.32
4,0,2009-05-01,895946,2.70,0.23,0.23,0.24
5,0,2009-05-01,919312,3.03,0.25,0.26,0.27
6,0,2009-05-01,937611,2.99,0.25,0.25,0.27
7,0,2009-05-01,1261387,3.82,0.32,0.33,0.34
8,0,2009-05-01,1362959,3.70,0.31,0.31,0.33
9,0,2009-05-01,564162,1.84,0.15,0.16,0.16
10,0,2009-05-01,1354221,4.22,0.35,0.36,0.38
11,0,2009-05-01,1114716,3.64,0.30,0.31,0.33
12,0,2009-05-01,775646,2.59,0.22,0.22,0.23
13,0,2009-05-01,1028532,3.16,0.26,0.27,0.28
0,1,2009-05-01,3472796,8.79,0.73,0.75,0.78
1,1,2009-05-01,1464302,4.52,0.38,0.38,0.40
2,1,2009-05-01,1535216,4.88,0.41,0.41,0.43
3,1,2009-05-01,1660677,5.22,0.43,0.44,0.47
4,1,2009-05-01,1266191,3.82,0.32,0.33,0.34
